format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00369,Male,44,173,71,12345,12345,12345,12345,12345,12345,1513662324259
10,300,171849,171860,171868,171878,171886,171896,171901,171910,171920,171920,171928,171940,1513662325546
5,276,-226612,-223661,-221173,-219387,-218737,-221679,-226125,-227915,-227875,-224982,-221002,-220599,1513662325550
5,288,-218723,-219866,-225835,-229627,-228782,-225867,-223761,-221125,-217807,-218996,-224401,-226972,1513662325551
5,300,-227725,-226543,-224846,-224299,-221951,-219438,-220369,-223875,-227515,-227980,-225765,-221224,1513662325551
5,312,-219865,-217189,-215142,-217585,-221888,-223592,-222133,-220296,-220212,-219673,-218925,-219458,1513662325552
9,300,154165,154178,154193,154202,154215,154224,154240,154250,154268,154280,154300,154313,1513662325598
9,312,154327,154340,154357,154368,154379,154391,154403,154411,154427,154439,154454,154464,1513662325599
9,324,154480,154489,154499,154512,154523,154535,154544,154555,154560,154573,154584,154596,1513662325599
10,312,171945,171952,171957,171964,171966,171971,171982,171988,171994,171998,172000,172010,1513662325610
10,324,172018,172025,172034,172042,172044,172050,172060,172063,172068,172070,172079,172082,1513662325611
10,336,172090,172099,172107,172112,172114,172119,172128,172135,172138,172150,172150,172162,1513662325611
10,348,172164,172167,172167,172176,172183,172189,172194,172201,172206,172207,172210,172219,1513662325611
5,324,-223363,-227947,-229657,-228055,-226126,-222859,-219314,-218706,-221843,-226823,-228705,-226657,1513662325640
5,336,-225248,-223228,-220431,-218192,-220284,-224384,-226956,-229220,-226908,-223025,-221029,-219091,1513662325640
5,348,-217369,-220801,-226064,-228068,-227393,-224537,-221603,-219945,-219009,-218912,-221520,-226923,1513662325641
5,360,-227340,-225000,-222991,-220659,-217136,-216785,-219657,-225021,-226989,-226292,-224654,-221283,1513662325641
9,336,154608,154618,154629,154644,154655,154663,154672,154682,154691,154705,154715,154725,1513662325694
9,348,154734,154746,154757,154764,154773,154786,154795,154803,154811,154819,154829,154843,1513662325701
9,360,154849,154858,154862,154871,154879,154892,154897,154905,154917,154923,154934,154943,1513662325702
9,372,154955,154962,154971,154978,154988,154999,155004,155013,155023,155029,155039,155051,1513662325702
10,360,172223,172233,172234,172241,172243,172249,172252,172256,172262,172265,172273,172279,1513662325703
