format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00689,Male,43,171,90,12345,12345,12345,12345,12345,12345,1514255659614
5,660,-133452,-133103,-133583,-133148,-133211,-133542,-133946,-134354,-133910,-133136,-133769,-133440,1514255661497
5,672,-133245,-133142,-133597,-133376,-133608,-133738,-133615,-133938,-133596,-133307,-132892,-133338,1514255661498
5,684,-133672,-133343,-133445,-132996,-132909,-132756,-132609,-132555,-132345,-132772,-133001,-133367,1514255661498
9,660,154891,154900,154911,154926,154937,154955,154968,154980,154997,155008,155021,155036,1514255661512
9,672,155049,155063,155076,155092,155104,155120,155129,155143,155159,155177,155189,155202,1514255661512
9,684,155218,155232,155245,155260,155277,155287,155306,155319,155334,155350,155358,155373,1514255661512
9,696,155387,155399,155416,155429,155445,155458,155469,155485,155499,155510,155522,155533,1514255661513
10,684,166420,166427,166435,166445,166454,166461,166467,166476,166482,166487,166499,166508,1514255661551
10,696,166517,166528,166533,166542,166546,166551,166559,166566,166574,166584,166589,166597,1514255661552
10,708,166604,166610,166617,166623,166630,166635,166638,166643,166644,166654,166659,166657,1514255661552
5,696,-133038,-132548,-132776,-133100,-133176,-133098,-132598,-132308,-132135,-132588,-131607,-131840,1514255661578
5,708,-132075,-132481,-132125,-132303,-132076,-131577,-131734,-132155,-132326,-131934,-131685,-131617,1514255661579
5,720,-131838,-131088,-132324,-132026,-130538,-130515,-130906,-130810,-131114,-131236,-131679,-131270,1514255661579
5,732,-130628,-129519,-129866,-131060,-130821,-130377,-130267,-129487,-129531,-130532,-130423,-130387,1514255661581
9,708,155543,155555,155567,155575,155587,155597,155604,155609,155619,155625,155629,155633,1514255661601
9,720,155634,155633,155635,155633,155631,155626,155618,155606,155596,155584,155569,155555,1514255661601
9,732,155535,155516,155493,155467,155442,155409,155380,155347,155319,155279,155242,155200,1514255661602
9,744,155159,155118,155073,155027,154981,154936,154885,154837,154787,154733,154681,154630,1514255661602
10,720,166658,166655,166658,166657,166659,166657,166653,166648,166643,166637,166631,166617,1514255661636
10,732,166608,166596,166586,166573,166556,166537,166526,166508,166491,166470,166449,166425,1514255661638
10,744,166401,166376,166349,166322,166297,166271,166243,166212,166184,166156,166124,166097,1514255661643
10,756,166069,166035,166007,165977,165944,165917,165884,165859,165827,165794,165763,165736,1514255661644
5,744,-130626,-130625,-130280,-130721,-130235,-130257,-130144,-130710,-130520,-130139,-130041,-130242,1514255661662
5,756,-130588,-130540,-130143,-130470,-130970,-131871,-132516,-132439,-132177,-131295,-131158,-132114,1514255661663
5,768,-132220,-132256,-132759,-133466,-132809,-132521,-132757,-133562,-133963,-134409,-134462,-133648,1514255661664
9,756,154581,154528,154476,154424,154369,154317,154264,154216,154162,154114,154062,154010,1514255661691
9,768,153966,153917,153871,153829,153783,153740,153695,153653,153614,153574,153535,153501,1514255661692
9,780,153468,153433,153399,153373,153344,153314,153287,153259,153236,153214,153188,153166,1514255661692
9,792,153146,153122,153102,153085,153064,153048,153035,153018,153002,152994,152980,152969,1514255661693
10,768,165709,165682,165654,165629,165602,165578,165552,165528,165507,165485,165461,165443,1514255661720
10,780,165422,165401,165382,165363,165345,165326,165309,165290,165274,165260,165251,165237,1514255661721
10,792,165223,165212,165202,165198,165181,165173,165163,165153,165145,165135,165126,165118,1514255661721
10,804,165113,165105,165104,165100,165094,165086,165082,165076,165072,165069,165061,165059,1514255661722
5,780,-132716,-133484,-132980,-132907,-134163,-134748,-133903,-133579,-133584,-133185,-133211,-133951,1514255661761
5,792,-134567,-134449,-134267,-134344,-134251,-133960,-133493,-133580,-134281,-134067,-134115,-134352,1514255661762
5,804,-134713,-134782,-134295,-133669,-133637,-134099,-134084,-134441,-134299,-133713,-133664,-134114,1514255661762
5,816,-133507,-133860,-134191,-134070,-135155,-134659,-134296,-133930,-133254,-133960,-135298,-135108,1514255661763
9,804,152959,152947,152938,152929,152924,152914,152908,152905,152896,152894,152886,152884,1514255661781
9,816,152883,152879,152879,152879,152878,152877,152880,152877,152882,152882,152880,152884,1514255661782
9,828,152889,152892,152898,152904,152909,152913,152922,152932,152937,152945,152959,152974,1514255661782
9,840,152987,153000,153012,153028,153040,153055,153071,153091,153106,153120,153138,153155,1514255661783
10,816,165056,165052,165052,165049,165052,165049,165049,165049,165047,165047,165044,165050,1514255661811
10,828,165055,165053,165056,165057,165059,165064,165068,165070,165075,165081,165086,165095,1514255661812
10,840,165103,165106,165115,165120,165129,165142,165150,165159,165171,165182,165191,165198,1514255661812
10,852,165209,165213,165223,165233,165242,165255,165262,165273,165279,165289,165301,165311,1514255661813
5,828,-133623,-133544,-134004,-134576,-134120,-133588,-133642,-133745,-134840,-134727,-134706,-134296,1514255661840
5,840,-134600,-133843,-133839,-134564,-135049,-134731,-134165,-133780,-134500,-135194,-135091,-134183,1514255661841
5,852,-134712,-134514,-134534,-134882,-134910,-134614,-134304,-134999,-135096,-134170,-134315,-134728,1514255661841
5,864,-135386,-135645,-134879,-135364,-134579,-134644,-135017,-135209,-135067,-134567,-134591,-134248,1514255661842
9,852,153173,153195,153208,153225,153243,153258,153277,153296,153312,153330,153347,153363,1514255661876
9,864,153382,153400,153420,153436,153451,153470,153487,153502,153516,153530,153551,153564,1514255661879
9,876,153575,153588,153602,153617,153629,153645,153658,153667,153677,153686,153696,153708,1514255661881
9,888,153718,153723,153735,153742,153752,153761,153768,153777,153781,153785,153794,153799,1514255661881
10,864,165318,165332,165345,165356,165365,165370,165379,165389,165395,165404,165414,165424,1514255661902
10,876,165429,165438,165447,165454,165462,165466,165473,165478,165487,165495,165499,165508,1514255661903
10,888,165514,165519,165525,165528,165533,165537,165539,165544,165549,165552,165558,165556,1514255661903
10,900,165560,165565,165570,165573,165578,165585,165590,165591,165598,165603,165609,165616,1514255661904
5,876,-134368,-135297,-135089,-134829,-134167,-134433,-134756,-135433,-135700,-135625,-135568,-135731,1514255661940
5,888,-135408,-134400,-134558,-134393,-133987,-135464,-134856,-134276,-134901,-134122,-134192,-135382,1514255661941
5,900,-135062,-134338,-134697,-134459,-134525,-134323,-134186,-134201,-134208,-134532,-134992,-134289,1514255661941
5,912,-133987,-134088,-133712,-133537,-134408,-134610,-134504,-134437,-134343,-134996,-134978,-135115,1514255661942
9,900,153806,153815,153819,153829,153834,153841,153852,153859,153868,153871,153879,153886,1514255661960
9,912,153895,153900,153908,153919,153923,153930,153940,153950,153955,153964,153974,153980,1514255661960
9,924,153988,154000,154006,154012,154021,154032,154042,154055,154062,154070,154080,154089,1514255661961
10,912,165622,165623,165631,165632,165635,165638,165646,165647,165650,165655,165658,165658,1514255661994
10,924,165659,165665,165671,165679,165681,165689,165695,165702,165703,165709,165719,165721,1514255661995
10,936,165725,165731,165740,165743,165749,165753,165760,165771,165777,165785,165791,165799,1514255661995
10,948,165806,165810,165818,165826,165833,165843,165846,165856,165864,165872,165877,165886,1514255661997
5,924,-134114,-134289,-135047,-135090,-134516,-133893,-134253,-134149,-134235,-134409,-134662,-134517,1514255662023
5,936,-133999,-134810,-135207,-135526,-135216,-135523,-135645,-136061,-135951,-135890,-135832,-136334,1514255662024
5,948,-136522,-135990,-135341,-135442,-136558,-135974,-134791,-134864,-135709,-135970,-135962,-135387,1514255662024
5,960,-135441,-136319,-136917,-136375,-136199,-136193,-136035,-135541,-134660,-134308,-133879,-133050,1514255662025
9,936,154099,154112,154122,154135,154145,154156,154169,154181,154195,154208,154220,154226,1514255662050
9,948,154242,154250,154264,154276,154287,154299,154311,154323,154336,154351,154364,154377,1514255662051
9,960,154384,154397,154411,154425,154436,154446,154461,154470,154483,154495,154505,154519,1514255662052
9,972,154535,154549,154561,154573,154588,154596,154610,154625,154638,154649,154666,154677,1514255662052
10,960,165888,165898,165905,165914,165919,165927,165935,165940,165946,165955,165960,165967,1514255662081
10,972,165976,165985,165994,166003,166006,166015,166020,166030,166035,166042,166052,166060,1514255662081
10,984,166066,166071,166078,166087,166092,166102,166111,166121,166130,166138,166148,166155,1514255662082
5,972,-130746,-129271,-129542,-128020,-126021,-123711,-121720,-120833,-120812,-121345,-123708,-125701,1514255662109
5,984,-127742,-130038,-130988,-132909,-135108,-135396,-135432,-136176,-137541,-136989,-135775,-135963,1514255662110
5,996,-135960,-136588,-136763,-136561,-136933,-136714,-136348,-136363,-137096,-136662,-136065,-135598,1514255662110
5,1008,-136112,-136005,-136876,-136848,-136533,-136169,-135508,-135843,-136927,-136808,-136704,-136161,1514255662111
9,984,154692,154707,154719,154732,154746,154757,154773,154789,154805,154816,154830,154838,1514255662142
9,996,154853,154865,154879,154892,154905,154916,154929,154938,154953,154961,154977,154987,1514255662142
9,1008,155002,155016,155026,155045,155058,155071,155084,155100,155114,155127,155137,155151,1514255662143
9,1020,155160,155174,155190,155199,155212,155226,155239,155251,155267,155281,155292,155307,1514255662143
10,996,166160,166169,166173,166180,166189,166196,166200,166208,166215,166222,166228,166240,1514255662172
10,1008,166245,166250,166259,166267,166282,166283,166294,166300,166310,166319,166328,166331,1514255662177
10,1020,166338,166345,166354,166365,166373,166377,166382,166387,166394,166402,166407,166415,1514255662178
10,1032,166420,166433,166440,166447,166454,166463,166470,166475,166484,166490,166498,166504,1514255662181
5,1020,-135313,-135982,-136278,-136691,-136734,-136579,-136543,-136255,-136099,-135520,-135349,-136294,1514255662202
5,1032,-135978,-136521,-136507,-136752,-136138,-135193,-135390,-135732,-136297,-136491,-135565,-136485,1514255662204
5,1044,-135976,-136202,-135793,-135547,-135709,-135337,-135503,-136100,-136020,-135603,-135518,-135598,1514255662204
9,1032,155320,155332,155346,155361,155376,155386,155400,155412,155429,155434,155452,155464,1514255662238
9,1044,155478,155495,155508,155520,155532,155543,155553,155566,155580,155591,155602,155614,1514255662238
9,1056,155627,155643,155652,155665,155677,155685,155695,155705,155714,155723,155727,155739,1514255662239
9,1068,155749,155755,155762,155770,155771,155772,155776,155777,155772,155765,155761,155755,1514255662239
10,1044,166511,166521,166528,166538,166544,166551,166558,166566,166570,166580,166587,166591,1514255662259
10,1056,166598,166604,166612,166621,166628,166636,166645,166654,166660,166662,166666,166671,1514255662259
10,1068,166677,166674,166680,166684,166684,166684,166687,166687,166688,166687,166676,166678,1514255662260
10,1080,166676,166671,166664,166654,166642,166634,166624,166610,166599,166582,166570,166551,1514255662263
5,1056,-136043,-135758,-135164,-135684,-135521,-135075,-134733,-134614,-134773,-134619,-135257,-135487,1514255662292
5,1068,-135132,-135616,-135003,-134438,-134620,-134190,-134091,-134008,-134381,-134467,-133865,-133937,1514255662293
5,1080,-134462,-133743,-132999,-133501,-133523,-133064,-133197,-132923,-133157,-133375,-132741,-132931,1514255662293
5,1092,-133053,-133140,-132976,-131932,-132152,-132485,-132130,-132782,-133629,-134064,-133788,-132983,1514255662294
9,1080,155748,155736,155726,155708,155690,155677,155658,155637,155614,155589,155565,155530,1514255662335
