format version: 0.3,v0.0.35-bluetooth-qa,16,16,11,9
1000,0,mtk00872,Female,36,160,66,12345,12345,12345,12345,12345,12345,1512442559186
10,348,175680,175682,175691,175694,175699,175706,175703,175711,175708,175712,175709,175707,1512442560562
5,324,-40911,-39567,-37064,-38259,-42002,-44908,-44967,-43772,-41819,-40119,-38425,-36716,1512442560564
5,336,-38794,-43192,-45116,-43946,-42397,-39957,-38762,-37219,-37915,-41871,-44669,-44171,1512442560565
5,348,-43458,-41904,-39530,-37580,-36669,-38730,-42966,-44933,-43418,-41268,-38580,-37843,1512442560566
5,360,-36110,-36710,-40494,-43233,-43125,-41904,-38862,-38298,-36450,-35358,-37303,-40938,1512442560566
9,336,151104,151113,151122,151132,151142,151148,151160,151166,151181,151187,151197,151208,1512442560596
9,348,151214,151220,151229,151237,151247,151253,151256,151260,151264,151265,151264,151265,1512442560596
9,360,151262,151260,151251,151248,151240,151233,151219,151204,151188,151169,151153,151131,1512442560597
9,372,151111,151086,151057,151031,151004,150971,150939,150904,150864,150825,150785,150743,1512442560597
9,384,150701,150658,150614,150566,150518,150465,150412,150366,150313,150259,150208,150155,1512442560598
10,360,175707,175704,175701,175704,175701,175694,175690,175679,175668,175658,175651,175636,1512442560625
10,372,175629,175616,175599,175585,175569,175554,175536,175517,175496,175470,175449,175429,1512442560626
10,384,175406,175384,175360,175334,175306,175279,175251,175227,175199,175172,175145,175116,1512442560627
10,396,175084,175054,175026,174994,174964,174937,174909,174886,174859,174833,174804,174778,1512442560627
5,372,-43338,-42313,-40194,-38521,-37050,-34800,-35287,-37742,-41534,-42466,-41109,-37571,1512442560684
5,384,-35593,-34319,-33358,-35967,-39392,-41301,-40404,-38768,-36461,-35611,-34199,-34375,1512442560688
5,396,-37608,-41669,-42382,-41084,-39307,-37141,-36595,-35842,-37041,-41505,-44601,-44173,1512442560689
5,408,-43041,-41311,-40238,-37541,-37955,-41394,-45504,-45354,-43792,-42884,-41922,-40299,1512442560689
9,396,150097,150045,149996,149939,149881,149828,149776,149725,149678,149624,149575,149525,1512442560709
9,408,149478,149437,149392,149346,149302,149261,149218,149180,149148,149109,149079,149044,1512442560710
9,420,149010,148980,148952,148924,148897,148871,148851,148827,148811,148791,148774,148758,1512442560710
9,432,148739,148727,148715,148704,148692,148684,148671,148659,148649,148643,148639,148632,1512442560710
10,408,174748,174721,174697,174674,174650,174627,174604,174581,174561,174537,174523,174509,1512442560730
10,420,174489,174467,174455,174441,174429,174414,174400,174390,174376,174367,174360,174349,1512442560730
10,432,174338,174335,174327,174327,174317,174317,174315,174310,174298,174296,174294,174290,1512442560731
10,444,174289,174290,174285,174281,174277,174277,174275,174272,174276,174273,174276,174274,1512442560731
10,456,174275,174276,174282,174280,174283,174281,174285,174280,174287,174288,174286,174293,1512442560731
5,420,-38655,-40021,-44267,-47223,-46142,-44287,-42759,-41333,-39425,-39441,-42313,-47311,1512442560780
5,432,-48706,-47365,-44636,-42271,-41012,-38965,-40426,-44277,-48261,-47503,-45775,-43750,1512442560780
5,444,-41099,-39807,-39754,-43488,-47117,-47390,-46552,-45660,-43755,-41604,-40139,-41931,1512442560781
5,456,-45218,-47727,-48411,-46372,-44089,-42494,-40411,-40209,-43073,-47873,-49473,-47175,1512442560781
5,468,-44873,-43080,-42077,-39594,-40938,-44773,-48289,-48099,-46019,-44227,-42924,-41504,1512442560782
9,444,148624,148622,148613,148610,148609,148608,148602,148597,148600,148596,148596,148597,1512442560790
9,456,148596,148595,148596,148599,148597,148602,148602,148604,148605,148607,148611,148612,1512442560791
9,468,148613,148613,148614,148619,148618,148625,148626,148629,148634,148636,148638,148642,1512442560792
9,480,148642,148644,148645,148650,148651,148657,148663,148665,148670,148671,148668,148669,1512442560795
10,468,174290,174293,174290,174296,174293,174297,174295,174295,174298,174300,174301,174301,1512442560821
10,480,174298,174305,174302,174303,174305,174304,174310,174317,174319,174318,174320,174322,1512442560821
10,492,174323,174327,174327,174331,174331,174334,174335,174344,174346,174347,174353,174356,1512442560822
10,504,174363,174364,174371,174376,174382,174388,174395,174403,174405,174415,174423,174428,1512442560822
5,480,-41446,-43732,-47674,-49120,-47999,-46416,-43916,-42148,-40219,-41940,-45537,-48896,1512442560862
5,492,-48224,-47017,-44852,-43092,-41621,-40219,-41690,-46203,-48496,-47218,-45578,-43845,1512442560862
5,504,-42535,-40921,-41636,-44920,-49126,-49122,-47306,-45416,-43168,-40769,-39865,-42872,1512442560863
5,516,-46965,-48996,-48031,-46252,-44198,-42700,-40713,-41000,-44512,-48222,-48906,-47699,1512442560863
9,492,148676,148681,148684,148687,148691,148701,148706,148712,148718,148725,148730,148738,1512442560883
9,504,148749,148758,148770,148777,148787,148797,148808,148818,148831,148843,148859,148872,1512442560883
9,516,148884,148898,148909,148921,148934,148943,148955,148969,148983,148996,149011,149022,1512442560884
9,528,149037,149049,149061,149074,149086,149097,149108,149120,149130,149143,149153,149159,1512442560884
10,516,174437,174444,174452,174459,174466,174472,174484,174486,174496,174503,174511,174518,1512442560911
10,528,174525,174527,174538,174539,174547,174555,174563,174565,174571,174580,174587,174597,1512442560912
10,540,174595,174599,174602,174609,174614,174622,174627,174632,174641,174642,174645,174648,1512442560913
5,528,-45125,-43996,-42791,-41378,-43552,-47298,-49073,-47504,-46475,-44516,-43029,-41068,1512442560941
5,540,-41992,-45582,-48991,-48477,-47432,-45706,-44207,-42222,-40509,-42159,-46711,-49597,1512442560942
5,552,-49322,-46657,-45346,-44094,-41026,-41936,-45538,-49526,-49305,-48414,-46879,-45586,1512442560943
5,564,-43400,-41312,-43689,-48055,-50639,-49000,-47560,-45588,-43973,-41572,-42330,-45602,1512442560943
9,540,149169,149178,149191,149199,149209,149215,149221,149229,149233,149239,149246,149252,1512442560970
9,552,149260,149263,149268,149273,149276,149280,149282,149287,149291,149293,149297,149300,1512442560971
9,564,149300,149303,149302,149308,149308,149314,149315,149317,149310,149312,149315,149317,1512442560971
9,576,149318,149321,149323,149323,149328,149331,149334,149339,149342,149347,149356,149359,1512442560972
10,552,174649,174650,174658,174662,174663,174659,174661,174664,174666,174666,174666,174670,1512442561000
10,564,174672,174673,174674,174674,174675,174675,174678,174681,174683,174683,174684,174686,1512442561001
10,576,174686,174687,174689,174690,174691,174692,174701,174696,174704,174699,174704,174706,1512442561001
10,588,174708,174714,174718,174721,174728,174730,174738,174738,174744,174747,174749,174757,1512442561001
5,576,-49311,-50122,-48265,-46408,-43856,-42723,-41622,-43292,-47239,-50312,-49800,-47702,1512442561046
